@RELATION sander

@ATTRIBUTE feature01-completiontime NUMERIC
@ATTRIBUTE feature02-totaltime NUMERIC

@ATTRIBUTE feature03-timesjumped NUMERIC
@ATTRIBUTE feature04-totalducktime NUMERIC
@ATTRIBUTE feature05-timesducked NUMERIC
@ATTRIBUTE feature06-totalruntime NUMERIC
@ATTRIBUTE feature07-timesrun NUMERIC
@ATTRIBUTE feature08-totalrighttime NUMERIC
@ATTRIBUTE feature09-totallefttime NUMERIC

@ATTRIBUTE feature10-coinscollected NUMERIC
@ATTRIBUTE feature11-levelcoins NUMERIC

@ATTRIBUTE feature12-blocksemptydestroyed NUMERIC
@ATTRIBUTE feature13-levelblocksempty NUMERIC
@ATTRIBUTE feature14-blockscoindestroyed NUMERIC
@ATTRIBUTE feature15-blockcoins NUMERIC
@ATTRIBUTE feature16-blockspowerdestroyed NUMERIC
@ATTRIBUTE feature17-levelblockspower NUMERIC
@ATTRIBUTE feature18-shellsunleashed NUMERIC
@ATTRIBUTE feature19-killsfire NUMERIC
@ATTRIBUTE feature20-killsshell NUMERIC
@ATTRIBUTE feature21-emenies NUMERIC

@ATTRIBUTE feature22-totallittletime NUMERIC
@ATTRIBUTE feature23-totallargetime NUMERIC
@ATTRIBUTE feature24-totalfiretime NUMERIC
@ATTRIBUTE feature25-switchedpower NUMERIC
@ATTRIBUTE feature26-aimlessJumps NUMERIC
@ATTRIBUTE feature27-perc-blocksdestroyed NUMERIC
@ATTRIBUTE feature28-perc-coinblocksdestroyed NUMERIC
@ATTRIBUTE feature29-perc-emptyblocksdestroyed NUMERIC
@ATTRIBUTE feature30-perc-powerblocksdestroyed NUMERIC

@ATTRIBUTE feature31-deaths-gap NUMERIC
@ATTRIBUTE feature32-deaths-red-turtle NUMERIC
@ATTRIBUTE feature33-deaths-green-turtle NUMERIC
@ATTRIBUTE feature34-deaths-goomba NUMERIC
@ATTRIBUTE feature35-deaths-armored-turle NUMERIC
@ATTRIBUTE feature36-deaths-jump-flower NUMERIC
@ATTRIBUTE feature37-deaths-cannon-ball NUMERIC
@ATTRIBUTE feature38-deaths-chomp-flower NUMERIC

@ATTRIBUTE feature39-kills-red-turtle NUMERIC
@ATTRIBUTE feature40-kills-green-turtle NUMERIC
@ATTRIBUTE feature41-kills-goomba NUMERIC
@ATTRIBUTE feature42-kills-armored-turtle NUMERIC
@ATTRIBUTE feature43-kills-jump-flower NUMERIC
@ATTRIBUTE feature44-kills-cannon-ball NUMERIC
@ATTRIBUTE feature45-kills-chomp-flower NUMERIC

@ATTRIBUTE feature-straight-totalruntime NUMERIC
@ATTRIBUTE feature-straight-totalrighttime NUMERIC
@ATTRIBUTE feature-straight-totallefttime NUMERIC

@ATTRIBUTE feature-hills-totalruntime NUMERIC
@ATTRIBUTE feature-hills-totalrighttime NUMERIC
@ATTRIBUTE feature-hills-totallefttime NUMERIC

@ATTRIBUTE feature-jump-totalruntime NUMERIC
@ATTRIBUTE feature-jump-totalrighttime NUMERIC
@ATTRIBUTE feature-jump-totallefttime NUMERIC

@ATTRIBUTE feature-tubes-totalruntime NUMERIC
@ATTRIBUTE feature-tubes-totalrighttime NUMERIC
@ATTRIBUTE feature-tubes-totallefttime NUMERIC

@ATTRIBUTE feature-cannons-totalruntime NUMERIC
@ATTRIBUTE feature-cannons-totalrighttime NUMERIC
@ATTRIBUTE feature-cannons-totallefttime NUMERIC

@ATTRIBUTE parameter-straight NUMERIC
@ATTRIBUTE parameter-hills NUMERIC
@ATTRIBUTE parameter-tubes NUMERIC
@ATTRIBUTE parameter-jump NUMERIC
@ATTRIBUTE parameter-cannons NUMERIC
@ATTRIBUTE parameter-gap NUMERIC

@ATTRIBUTE label-engagement NUMERIC
@ATTRIBUTE label-frustration NUMERIC
@ATTRIBUTE label-challenge {1,2,3,4,5}
@ATTRIBUTE label-better NUMERIC

@ATTRIBUTE timestamp STRING
@ATTRIBUTE id-string STRING

@DATA
51, 51, 26, 0, 0, 0, 2, 34, 6, 23, 12, 3, 8, 1, 0, 4, 2, 0, 0, 0, 1, 14, 8, 0, 3, 18.0, 0.7, 0.0, 0.38, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.87, 8.87, 3.13, 5.33, 4.8, 0.4, 11.47, 6.73, 3.0, 4.13, 4.13, 0.0, 5.53, 4.73, 0.53, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_121041, ID20140305_121003485
28, 28, 18, 0, 0, 25, 8, 16, 4, 11, 11, 6, 6, 0, 0, 3, 2, 0, 0, 0, 3, 0, 14, 8, 2, 8.0, 1.13, 0.0, 1.0, 1.5, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10.6, 3.67, 4.47, 4.13, 4.13, 0.0, 1.73, 1.73, 0.0, 1.6, 2.33, 0.0, 2.8, 2.8, 0.0, 1, 1, 1, 1, 1, 5, 3, 3, 3, 1, 20140305_121102, ID20140305_121003485
22, 22, 13, 0, 0, 16, 25, 15, 0, 2, 13, 0, 8, 0, 0, 0, 2, 0, 3, 0, 5, 0, 0, 0, 0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2.27, 1.87, 0.0, 0.8, 2.27, 0.0, 1.33, 1.87, 0.0, 4.27, 4.87, 0.0, 4.67, 2.67, 0.2, 2, 2, 2, 2, 2, 5, 3, 3, 3, 1, 20140305_121119, ID20140305_121003485
43, 43, 22, 1, 1, 14, 24, 24, 3, 8, 8, 2, 10, 0, 0, 2, 2, 0, 4, 0, 8, 0, 7, 18, 2, 18.0, 0.33, 0.0, 0.2, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 6.6, 2.53, 1.4, 5.07, 4.6, 0.27, 1.73, 2.4, 0.0, 7.07, 5.07, 0.0, 14.67, 7.13, 2.0, 3, 3, 3, 3, 3, 5, 3, 3, 3, 1, 20140305_121150, ID20140305_121003485
31, 31, 12, 0, 0, 0, 1, 10, 2, 15, 11, 0, 8, 0, 0, 1, 2, 0, 0, 0, 1, 12, 15, 0, 3, 11.0, 0.1, 0.0, 0.0, 0.5, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_121302, ID20140305_121214281
25, 25, 12, 0, 0, 0, 1, 22, 0, 1, 8, 0, 6, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_121334, ID20140305_121306504
29, 29, 14, 0, 0, 2, 2, 20, 0, 6, 11, 0, 8, 0, 0, 1, 2, 0, 0, 0, 1, 25, 0, 0, 2, 13.0, 0.1, 0.0, 0.0, 0.5, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_122520, ID20140305_122451538
26, 26, 14, 0, 0, 0, 1, 17, 2, 8, 9, 5, 4, 0, 0, 1, 2, 0, 0, 0, 2, 12, 0, 0, 2, 7.0, 1.0, 0.0, 1.25, 0.5, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_122612, ID20140305_122451538
28, 28, 18, 0, 0, 0, 1, 2, 2, 4, 10, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 21, 0, 0, 2, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.73, 6.4, 2.2, 3.2, 3.2, 0.0, 3.13, 3.13, 0.0, 3.07, 3.07, 0.0, 3.2, 3.2, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_124459, ID20140305_124439483
32, 32, 17, 0, 0, 0, 1, 21, 4, 18, 12, 2, 7, 0, 0, 2, 2, 0, 0, 0, 1, 10, 16, 0, 3, 13.0, 0.44, 0.0, 0.29, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.2, 4.8, 3.4, 3.13, 3.13, 0.0, 3.2, 3.2, 0.0, 3.13, 3.13, 0.0, 8.0, 5.13, 1.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_124620, ID20140305_124557223
14, 14, 10, 0, 0, 0, 1, 5, 0, 10, 15, 0, 14, 0, 1, 1, 2, 0, 0, 0, 3, 0, 0, 0, 0, 8.0, 0.06, 0.0, 0.0, 0.5, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.93, 1.93, 0.0, 2.4, 2.4, 0.0, 2.87, 2.47, 0.27, 1.53, 1.53, 0.0, 1.53, 1.53, 0.0, 1, 1, 1, 1, 1, 5, 3, 3, 3, 0, 20140305_124632, ID20140305_124557223
33, 33, 6, 0, 0, 16, 2, 14, 1, 11, 11, 0, 12, 0, 0, 0, 1, 1, 1, 2, 5, 0, 0, 0, 0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1.73, 1.73, 0.0, 5.47, 3.87, 1.8, 2.07, 2.07, 0.0, 3.0, 3.0, 0.0, 3.0, 3.0, 0.0, 0, 5, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_124702, ID20140305_124557223
47, 47, 28, 0, 0, 40, 14, 31, 4, 24, 11, 2, 5, 2, 0, 2, 1, 0, 0, 0, 1, 22, 12, 0, 3, 22.0, 0.67, 0.0, 0.4, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.07, 11.33, 4.0, 4.07, 4.87, 0.0, 8.53, 5.4, 0.73, 3.6, 3.6, 0.0, 4.73, 5.4, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_124841, ID20140305_124809675
17, 17, 11, 0, 0, 11, 22, 14, 0, 0, 11, 0, 8, 0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2.27, 2.93, 0.0, 1.8, 2.0, 0.0, 1.87, 2.8, 0.0, 1.67, 2.67, 0.0, 1.73, 2.27, 0.0, 1, 1, 1, 1, 1, 5, 3, 3, 3, 0, 20140305_124855, ID20140305_124809675
19, 19, 7, 0, 0, 7, 3, 13, 1, 4, 12, 0, 8, 0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5.27, 0.93, 1.53, 2.13, 2.33, 0.0, 2.07, 2.27, 0.0, 1.67, 1.67, 0.0, 1.53, 1.53, 0.0, 4, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_124912, ID20140305_124809675
24, 24, 3, 0, 0, 8, 1, 9, 0, 0, 12, 0, 8, 0, 0, 0, 2, 0, 0, 0, 4, 24, 0, 0, 1, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_124956, ID20140305_124809675
42, 42, 22, 0, 0, 26, 30, 26, 5, 22, 9, 2, 5, 0, 0, 2, 2, 0, 0, 0, 1, 12, 5, 0, 3, 18.0, 0.57, 0.0, 0.4, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.07, 8.2, 5.07, 4.13, 4.67, 0.0, 3.6, 4.13, 0.0, 3.33, 4.2, 0.0, 2.93, 4.07, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_125102, ID20140305_125034164
12, 12, 7, 0, 0, 1, 3, 10, 0, 0, 10, 0, 9, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6, 1.6, 0.0, 1.53, 1.53, 0.0, 2.93, 2.4, 0.0, 1.6, 1.6, 0.0, 1.53, 1.53, 0.0, 1, 1, 1, 1, 1, 5, 3, 3, 3, 1, 20140305_125113, ID20140305_125034164
29, 29, 19, 0, 0, 23, 28, 18, 1, 12, 12, 3, 8, 0, 0, 2, 2, 0, 3, 0, 5, 0, 4, 20, 2, 13.0, 0.5, 0.0, 0.38, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 9.07, 6.93, 1.6, 3.27, 3.07, 0.0, 1.67, 1.87, 0.0, 3.67, 2.2, 0.0, 2.53, 2.8, 0.0, 2, 2, 2, 2, 2, 5, 3, 3, 3, 0, 20140305_125135, ID20140305_125034164
23, 23, 13, 0, 0, 19, 3, 2, 1, 11, 11, 3, 6, 0, 0, 2, 2, 0, 0, 0, 3, 0, 0, 0, 0, 7.0, 0.63, 0.0, 0.5, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 4.8, 1.0, 3.0, 3.0, 0.0, 2.27, 2.27, 0.0, 10.13, 3.13, 0.0, 2.27, 2.27, 0.0, 1, 1, 1, 2, 1, 5, 3, 3, 3, 1, 20140305_125156, ID20140305_125034164
47, 47, 24, 0, 0, 2, 3, 25, 3, 20, 13, 2, 8, 1, 0, 3, 1, 0, 0, 0, 1, 29, 11, 0, 3, 17.0, 0.56, 0.0, 0.25, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.07, 6.4, 1.53, 4.4, 5.07, 0.0, 7.33, 5.73, 1.33, 3.47, 3.47, 0.0, 3.2, 3.2, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_125650, ID20140305_125618457
21, 21, 14, 0, 0, 13, 10, 9, 0, 13, 13, 1, 5, 1, 0, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 12.0, 0.14, 0.0, 0.2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2.47, 2.53, 0.0, 2.4, 2.53, 0.0, 2.0, 2.0, 0.0, 1.8, 2.53, 0.0, 2.73, 2.93, 0.0, 1, 1, 1, 1, 1, 5, 3, 3, 3, 1, 20140305_125710, ID20140305_125618457
20, 20, 11, 0, 0, 7, 19, 13, 0, 0, 11, 0, 10, 0, 0, 0, 2, 0, 1, 0, 5, 0, 0, 9, 1, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1.8, 1.8, 0.0, 4.13, 3.53, 0.07, 1.6, 2.13, 0.0, 1.87, 2.8, 0.0, 4.0, 3.73, 0.73, 2, 2, 2, 2, 2, 5, 3, 3, 3, 0, 20140305_125732, ID20140305_125618457
25, 25, 20, 0, 0, 7, 2, 10, 0, 20, 11, 0, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6, 3.27, 0.0, 3.13, 3.13, 0.0, 3.2, 3.2, 0.0, 3.07, 3.07, 0.0, 2.73, 3.4, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_190329, ID20140305_190311294
17, 17, 8, 0, 0, 10, 5, 13, 0, 0, 12, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_190414, ID20140305_190311294
21, 21, 11, 0, 0, 5, 7, 17, 0, 7, 16, 0, 9, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 5, 3, 3, 3, 1, 20140305_190439, ID20140305_190311294
7, 7, 1, 0, 0, 0, 1, 1, 0, 0, 10, 0, 6, 0, 0, 0, 2, 0, 0, 0, 5, 7, 0, 0, 1, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2, 2, 2, 5, 2, 5, 3, 3, 3, 1, 20140305_190512, ID20140305_190311294
29, 29, 11, 0, 0, 22, 6, 23, 0, 16, 13, 0, 8, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27, 4.0, 0.0, 2.33, 4.27, 0.0, 2.53, 3.67, 0.0, 3.6, 4.2, 0.0, 3.8, 3.33, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 2, 1, 20140305_190804, ID20140305_190743155
9, 9, 3, 0, 0, 6, 3, 3, 0, 0, 10, 0, 6, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 1, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_190834, ID20140305_190743155
29, 29, 10, 0, 0, 23, 4, 23, 0, 14, 13, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73, 4.53, 0.0, 3.53, 3.8, 0.0, 5.07, 4.47, 0.0, 3.67, 3.4, 0.0, 3.53, 3.53, 0.0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 1, 20140305_190953, ID20140305_190933343
15, 15, 7, 0, 0, 3, 4, 13, 0, 6, 11, 0, 9, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 6.0, 0.1, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73, 1.67, 0.0, 1.6, 2.6, 0.0, 1.6, 1.6, 0.0, 2.53, 2.4, 0.0, 1.6, 1.6, 0.0, 1, 1, 1, 1, 1, 5, 3, 3, 3, 1, 20140305_191006, ID20140305_190933343
