@relation myRelation

@attribute diff numeric
@attribute yaw numeric
@attribute pitch numeric
@attribute roll numeric
@attribute neutral numeric
@attribute happy numeric
@attribute surprised numeric
@attribute angry numeric
@attribute disgusted numeric
@attribute afraid numeric
@attribute sad numeric
@attribute aNominal {1,2,3,4,5}

@data
1,0.092492,-0.032559,0.018633,0.74826,0.029771,0.055929,0.138895,0.006414,0.00281,0.017921,1
1,0.083795,-0.022549,0.024347,0.798798,0.022159,0.053856,0.07635,0.012373,0.002586,0.033878,1
1,0.063771,-0.045815,0.022794,0.754508,0.016277,0.112563,0.037666,0.008308,0.010404,0.056717,1
1,0.122977,-0.07625,0.0262,0.676994,0.015204,0.087545,0.176688,0.006187,0.004636,0.032746,1
1,0.087478,-0.062613,0.029116,0.741944,0.019992,0.066447,0.09978,0.010141,0.03134,0.027999,1
1,0.085631,-0.088717,0.024793,0.746234,0.017728,0.06387,0.14273,0.007888,0.003484,0.018066,1
1,0.080475,-0.079732,0.022399,0.673125,0.071834,0.064776,0.146466,0.019436,0.004139,0.02093,1
1,0.09274,-0.107897,0.03404,0.785623,0.027145,0.060067,0.103145,0.008165,0.002082,0.013773,1
1,0.078776,-0.102925,0.031979,0.669184,0.02284,0.046111,0.237635,0.009961,0.003092,0.011177,1
1,0.067188,-0.110305,0.036706,0.613382,0.018573,0.073388,0.269715,0.005232,0.003953,0.015757,1
1,0.082089,-0.025644,0.028202,0.717287,0.023765,0.090197,0.122592,0.006423,0.004858,0.034878,1
2,0.047638,-0.034892,-0.006595,0.769145,0.075753,0.053672,0.030559,0.021451,0.007445,0.041975,2
2,0.043999,-0.008392,-0.00583,0.372211,0.025214,0.040015,0.010703,0.016829,0.002565,0.040867,2
2,0.062845,-0.054083,-0.0002,0.754008,0.037532,0.075032,0.071788,0.019215,0.006389,0.045745,2
2,0.005767,-0.012039,-0.000047,0.096603,0.002154,0.013002,0.016506,0.001172,0.000616,0.005621,1
2,0.052837,-0.12356,-0.012058,0.561455,0.008858,0.204305,0.073152,0.003496,0.014627,0.142591,2
2,0.010297,-0.022134,-0.00136,0.206644,0.004643,0.02998,0.018604,0.001109,0.001275,0.018284,1
2,0.05199,-0.08403,-0.003943,0.707406,0.01744,0.122525,0.058875,0.004202,0.00543,0.091821,2
2,0.030358,-0.044378,0.000033,0.415793,0.01314,0.063362,0.028407,0.003037,0.004845,0.047344,2
2,0.066107,-0.05593,0.010963,0.7792,0.049292,0.06749,0.027876,0.012165,0.002651,0.061326,2
2,0.03989,-0.07363,0.009746,0.790476,0.029064,0.088841,0.032524,0.006406,0.003165,0.049524,1
2,0.060801,-0.05849,0.009719,0.76771,0.030982,0.084803,0.029596,0.009669,0.003283,0.072798,1
2,0.052857,-0.063828,0.010965,0.781967,0.033252,0.080005,0.026169,0.007345,0.003015,0.067108,1
2,0.054478,-0.067148,0.010642,0.769415,0.031351,0.084156,0.024833,0.007557,0.003303,0.078227,1
2,0.04845,-0.073084,0.009329,0.774342,0.037481,0.0858,0.031952,0.007411,0.002821,0.059217,1
3,0.00469,-0.012454,0.006796,0.4451,0.064202,0.191464,0.119142,0.044899,0.035471,0.099712,2
3,0.000015,-0.000008,0.000001,0.445177,0.064191,0.191431,0.119126,0.04489,0.035463,0.099712,3
3,0.049691,-0.045171,0.0119,0.808011,0.028458,0.059315,0.025971,0.004215,0.00272,0.071309,3
3,0.005145,-0.012771,0.006823,0.447545,0.063828,0.190658,0.118369,0.044551,0.035293,0.099751,3
3,0.000013,-0.000008,0.000003,0.447618,0.063817,0.190626,0.118348,0.044546,0.035285,0.099749,3
3,0.062589,-0.039364,0.011853,0.701171,0.013862,0.06716,0.095723,0.004407,0.004663,0.111246,2
3,0.041463,-0.077552,0.009363,0.763568,0.018637,0.083651,0.069712,0.004332,0.00384,0.06713,3
3,0.021438,-0.044367,0.00705,0.331584,0.012678,0.055281,0.013018,0.001629,0.002782,0.031208,2
3,0.034981,-0.117651,0.014982,0.73856,0.032808,0.11636,0.024519,0.016114,0.006587,0.063445,2
3,0.029608,-0.11059,0.02,0.74244,0.030387,0.110609,0.02127,0.012449,0.006137,0.07399,2
3,0.040663,-0.103583,0.017275,0.693527,0.027442,0.123338,0.026303,0.015399,0.006431,0.103584,2
3,0.032247,-0.109788,0.019038,0.739054,0.028616,0.119626,0.038644,0.003482,0.006608,0.063158,2
3,0.03826,-0.120474,0.012608,0.749086,0.036398,0.118646,0.026771,0.003472,0.005221,0.060406,2
4,0.097944,-0.133219,-0.015661,0.620244,0.028481,0.095183,0.00833,0.01903,0.129799,0.098934,4
4,0.04988,-0.066288,-0.006852,0.347361,0.014196,0.052086,0.00474,0.009321,0.063156,0.059546,4
4,0.054242,-0.011264,0.000369,0.774079,0.041938,0.057686,0.009732,0.011063,0.033265,0.067362,4
4,0.050644,-0.069308,-0.002656,0.763027,0.019903,0.076715,0.004772,0.008053,0.050037,0.070177,3
4,0.063811,-0.06213,0.001526,0.692571,0.015594,0.090602,0.001819,0.007097,0.087428,0.090258,3
4,0.023707,-0.001285,-0.026492,0.679765,0.037806,0.083473,0.012363,0.030549,0.116066,0.050286,5
4,0.011205,-0.019964,-0.004261,0.177149,0.00332,0.020374,0.001068,0.002197,0.014048,0.018396,5
4,0.062879,0.100418,-0.010566,0.806573,0.043649,0.044069,0.007189,0.032691,0.006058,0.059771,4
4,0.057332,0.083194,-0.005268,0.809545,0.039432,0.046636,0.007646,0.028071,0.007156,0.061514,4
4,0.050183,0.008711,0.001497,0.705964,0.033474,0.078322,0.010933,0.023594,0.038895,0.109182,3
4,0.000909,0.001701,-0.000095,0.016265,0.000725,0.000903,0.000122,0.000501,0.000135,0.001109,4
4,0.05203,0.084201,0.001331,0.76033,0.089093,0.031776,0.008235,0.04494,0.009337,0.055663,4
4,0.046435,0.033719,0.021189,0.648765,0.097346,0.067311,0.008569,0.045612,0.083749,0.055102,5
4,0.016285,0.019175,-0.003696,0.256023,0.013075,0.014548,0.003532,0.010127,0.002223,0.018851,5
